acousticness,speechiness,valence,tempo,duration_ms,release_date,year,month
0.0333,0.126,0.685,135.996,199346,1984-05-04,1984,5
0.0156,0.0307,0.362,136.548,235960,1984-09-16,1984,9
0.0052,0.0308,0.644,93.556,276333,1984-03-27,1984,3
0.0637,0.0672,0.8340000000000001,122.765,260760,1984-10-12,1984,10
0.5870000000000001,0.0442,0.8540000000000001,104.556,266160,1984-10-01,1984,10
0.506,0.177,0.887,77.472,136800,1984-01-01,1984,1
0.00904,0.0346,0.6729999999999999,157.106,239173,1984-10-20,1984,10
0.0314,0.0373,0.8440000000000001,160.276,226227,1984-10-12,1984,10
0.46,0.0339,0.838,119.592,218800,1984-01-01,1984,1
0.0183,0.0386,0.774,139.134,216053,1984-11-05,1984,11
0.0106,0.0714,0.362,128.019,271027,1984-12-12,1984,12
0.6659999999999999,0.361,0.929,160.884,173533,1984-01-01,1984,1
0.7340000000000001,0.0311,0.287,72.524,238600,1984-01-01,1984,1
0.325,0.0801,0.6829999999999999,127.833,245867,1984-05-04,1984,5
0.991,0.037,0.0573,65.855,364440,1984-02-21,1984,2
0.238,0.0648,0.82,111.24,188040,1984-01-01,1984,1
0.315,0.0268,0.3720000000000001,168.923,196453,1985-01-01,1985,1
0.0149,0.056,0.448,171.463,227040,1985-01-01,1985,1
0.0683,0.0392,0.7959999999999999,127.717,250467,1985-01-01,1985,1
0.7240000000000001,0.0343,0.307,139.213,242733,1985-08-22,1985,8
0.0287,0.0658,0.8059999999999999,101.683,249400,1985-08-16,1985,8
0.32,0.0388,0.8029999999999999,148.336,237733,1985-01-01,1985,1
0.0579,0.0649,0.211,135.032,217533,1985-06-29,1985,6
0.853,0.0379,0.0458,59.148,164000,1985-01-01,1985,1
0.0364,0.0406,0.63,130.30200000000002,241533,1985-07-26,1985,7
0.0414,0.216,0.655,145.385,217387,1985-12-21,1985,12
0.141,0.0372,0.857,119.238,318040,1985-09-13,1985,9
0.00115,0.345,0.917,176.386,271600,1985-11-18,1985,11
0.8290000000000001,0.0354,0.233,83.40100000000002,217773,1985-01-01,1985,1
0.206,0.26,0.8340000000000001,119.533,186000,1985-09-30,1985,9
0.923,0.0417,0.0468,76.164,372653,1985-09-16,1985,9
0.648,0.03,0.7979999999999999,129.345,155720,1985-09-16,1985,9
0.134,0.0321,0.8809999999999999,98.341,282547,1985-07-10,1985,7
0.936,0.034,0.0634,127.295,258000,1985-01-01,1985,1
0.0289,0.0473,0.748,117.489,231267,1985-10-16,1985,10
0.118,0.0499,0.103,130.22799999999998,497813,1985-04-22,1985,4
0.629,0.0405,0.166,144.862,251307,1985-06-06,1985,6
0.257,0.0617,0.7440000000000001,119.94,324360,1985-02-14,1985,2
0.528,0.0488,0.91,92.02,341368,1985-09-03,1985,9
0.365,0.048,0.759,123.239,299000,1985-01-02,1985,1
0.252,0.0327,0.177,116.338,301867,1985-01-01,1985,1
0.552,0.0376,0.635,116.124,272133,1985-01-01,1985,1
0.229,0.0402,0.74,117.8,201133,1985-01-01,1985,1
0.0114,0.0416,0.7609999999999999,119.378,243293,1985-01-01,1985,1
0.114,0.0384,0.347,98.941,260107,1985-09-30,1985,9
0.296,0.0551,0.961,125.019,348733,1985-01-01,1985,1
0.111,0.0312,0.478,82.45100000000002,326307,1985-06-29,1985,6
0.00235,0.0429,0.546,199.456,154867,1985-01-01,1985,1
0.0391,0.0304,0.7979999999999999,116.982,200400,1985-07-10,1985,7
0.7140000000000001,0.0262,0.099,69.115,247274,1985-07-06,1985,7
0.7390000000000001,0.028,0.838,122.201,342467,1985-01-01,1985,1
0.0894,0.0314,0.44,144.899,283533,1985-01-01,1985,1
0.447,0.0592,0.629,124.515,284537,1985-01-15,1985,1
0.544,0.0479,0.272,139.724,218893,1985-01-01,1985,1
0.44,0.042,0.371,62.262,215173,1985-08-29,1985,8
0.154,0.0561,0.882,110.695,393000,1985-01-01,1985,1
0.0764,0.0807,0.936,111.645,231173,1985-08-16,1985,8
0.463,0.0413,0.857,107.226,306360,1985-04-17,1985,4
0.0418,0.0295,0.226,101.837,391662,1985-02-25,1985,2
0.467,0.0352,0.768,124.211,223107,1985-08-26,1985,8
0.127,0.0585,0.833,132.011,315613,1985-02-19,1985,2
0.175,0.0448,0.785,92.935,278467,1985-01-01,1985,1
0.0506,0.0327,0.8959999999999999,120.666,247067,1985-04-22,1985,4
0.0892,0.0418,0.342,83.154,303794,1985-02-15,1985,2
0.126,0.0346,0.97,135.128,265107,1985-01-01,1985,1
0.224,0.0584,0.8370000000000001,144.767,159635,1985-06-18,1985,6
0.96,0.0339,0.86,165.25099999999995,167067,1985-01-10,1985,1
0.0228,0.0589,0.848,113.25,288080,1985-06-10,1985,6
0.416,0.0294,0.797,80.925,171800,1985-01-14,1985,1
0.595,0.0787,0.915,76.84,143973,1985-09-30,1985,9
0.00503,0.12,0.295,98.461,240933,1985-11-18,1985,11
0.0567,0.183,0.802,139.66299999999998,332227,1985-03-08,1985,3
0.667,0.0272,0.436,178.387,337253,1985-06-29,1985,6
0.464,0.0352,0.206,121.928,362813,1985-06-29,1985,6
0.181,0.0308,0.532,82.508,208427,1985-01-01,1985,1
0.00351,0.0516,0.532,119.119,306329,1985-02-25,1985,2
0.196,0.0375,0.51,108.173,258600,1985-01-25,1985,1
0.0478,0.0744,0.907,89.31700000000002,303560,1985-08-16,1985,8
0.0268,0.217,0.862,191.962,245707,1985-11-19,1985,11
0.0458,0.0311,0.889,103.421,277440,1985-07-10,1985,7
0.299,0.0422,0.187,107.991,344213,1985-01-01,1985,1
0.0183,0.047,0.6940000000000001,172.275,207640,1985-10-09,1985,10
0.00607,0.269,0.282,140.984,216800,1985-10-16,1985,10
